x,y,r,building,road,none,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
1430.0,1510.0,75.0,0.37,1e-05,0.63,1e-05,9.118098258972168,28.35028648376465,4.09050989151001,1e-05,1e-05,1e-05,11.218084335327148,1e-05,1e-05,0.7442461252212524,20.698867797851562,1e-05,1e-05,25.014081954956055,30.362659454345703
1502.0,1693.0,75.0,0.61,1e-05,0.39,1e-05,17.963218688964844,38.842220306396484,2.364854335784912,1e-05,1e-05,1e-05,18.567916870117188,1e-05,1e-05,3.639415979385376,21.571962356567383,1e-05,1e-05,34.29901123046875,42.11417007446289
750.0,1836.0,75.0,0.7,1e-05,0.3,5.372317790985107,63.41637420654297,56.607051849365234,1e-05,1e-05,1e-05,1e-05,23.141929626464844,1e-05,1e-05,15.349950790405273,16.871976852416992,1e-05,1e-05,61.05244445800781,56.08110046386719
420.0,1490.0,75.0,0.13,1e-05,0.86,10.831622123718262,23.59645652770996,2.596670627593994,1.5208865404129028,1e-05,1e-05,1e-05,11.041003227233887,1e-05,1e-05,18.676725387573242,1e-05,1e-05,1e-05,10.515083312988281,10.430272102355957
583.0,1811.0,75.0,0.05,0.01,0.93,5.389091491699219,12.24820327758789,1.0031800270080566,0.6801954507827759,1e-05,1e-05,1e-05,6.093276023864746,1e-05,0.16983027756214142,10.079319953918457,1e-05,1e-05,1e-05,4.754542350769043,5.426505088806152
