x,y,r,building,road,none,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
734.0,1357.0,75.0,1e-05,1.0,1e-05,1e-05,1e-05,5.4524006843566895,1.120519995689392,1e-05,0.4377339780330658,1e-05,1.858237624168396,1e-05,1e-05,14.682027816772461,31.211477279663086,1e-05,1e-05,6.206879138946533,34.666900634765625
883.0,1625.0,75.0,1e-05,1.0,1e-05,1e-05,1e-05,5.315453052520752,1.46634042263031,1e-05,0.6152041554450989,1e-05,1.3470996618270874,1e-05,1e-05,14.845524787902832,31.586181640625,1e-05,1e-05,5.943332195281982,34.2286376953125
1538.0,809.0,75.0,1e-05,1.0,1e-05,1e-05,1e-05,5.45076322555542,1.121045470237732,1e-05,0.4381459653377533,1e-05,1.8544963598251343,1e-05,1e-05,14.686222076416016,31.215904235839844,1e-05,1e-05,6.206010818481445,34.664283752441406
1009.0,347.0,75.0,1e-05,1.0,1e-05,1e-05,1e-05,5.4524006843566895,1.120519995689392,1e-05,0.4377339780330658,1e-05,1.858237624168396,1e-05,1e-05,14.682027816772461,31.211477279663086,1e-05,1e-05,6.206879138946533,34.666900634765625
1778.0,1194.0,75.0,1e-05,0.85,0.15,1e-05,1e-05,6.107576370239258,0.5681537389755249,1e-05,1e-05,1e-05,3.2422916889190674,1e-05,1e-05,26.7741756439209,36.78052520751953,1e-05,1e-05,9.657902717590332,34.424034118652344
