x,y,r,building,road,none,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
487.0,1381.0,75.0,0.97,0.01,0.03,1.9929523468017578,43.05389404296875,45.895320892333984,1e-05,1e-05,1e-05,1e-05,39.87699890136719,1e-05,2.3851511478424072,36.69512939453125,14.478353500366211,1e-05,1e-05,44.128578186035156,58.594757080078125
578.0,1533.0,75.0,0.99,1e-05,1e-05,6.747967720031738,51.51314926147461,44.283546447753906,1e-05,1e-05,1e-05,1e-05,41.974090576171875,1e-05,2.5360281467437744,38.46347427368164,7.895354747772217,1e-05,1e-05,44.217796325683594,60.328399658203125
1321.0,1610.0,75.0,1.0,1e-05,1e-05,4.917473793029785,47.187225341796875,46.06405258178711,1e-05,1e-05,1e-05,1e-05,41.99689865112305,1e-05,1.4110225439071655,36.69237518310547,10.689297676086426,1e-05,1e-05,44.296546936035156,61.54902648925781
1414.0,1786.0,75.0,1.0,1e-05,1e-05,4.917473793029785,47.187225341796875,46.06405258178711,1e-05,1e-05,1e-05,1e-05,41.99689865112305,1e-05,1.4110225439071655,36.69237518310547,10.689297676086426,1e-05,1e-05,44.296546936035156,61.54902648925781
1306.0,1725.0,75.0,0.98,0.01,0.01,8.40175724029541,53.0384635925293,38.82149887084961,1e-05,1e-05,1e-05,1e-05,39.508182525634766,1e-05,2.95668625831604,38.81370162963867,4.437530040740967,1e-05,1e-05,40.579429626464844,54.983970642089844
