x,y,r,building,road,none,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
934.0,1733.0,75.0,1e-05,0.68,0.32,1e-05,1e-05,11.035208702087402,1.7527269124984741,1e-05,1e-05,1e-05,7.205655097961426,1e-05,1e-05,14.280206680297852,32.05493927001953,1e-05,1e-05,13.23756217956543,34.032806396484375
1858.0,1211.0,75.0,1e-05,0.61,0.39,1e-05,1e-05,7.1611762046813965,7.215626239776611,1e-05,1.4895180463790894,1e-05,1.0622481107711792,1e-05,1e-05,4.096897125244141,23.450571060180664,1e-05,1e-05,3.9908504486083984,23.64954948425293
1138.0,1784.0,75.0,1e-05,0.51,0.49,1e-05,1e-05,0.05751588195562363,2.465771198272705,1e-05,2.22422456741333,1e-05,1e-05,1e-05,1e-05,7.927989482879639,11.193485260009766,1e-05,1e-05,1e-05,13.724620819091797
1264.0,2004.0,75.0,1e-05,0.41,0.59,1e-05,1e-05,1e-05,8.766234397888184,1e-05,5.778138160705566,1e-05,1e-05,1e-05,0.05475933849811554,8.748112678527832,12.030725479125977,1e-05,1e-05,1e-05,12.656916618347168
1451.0,787.0,75.0,1e-05,0.58,0.42,1e-05,1e-05,1.5390398502349854,1e-05,1e-05,1e-05,1e-05,4.255707740783691,1e-05,1e-05,19.403352737426758,16.604063034057617,1e-05,1e-05,3.7132046222686768,21.639745712280273
