x,y,r,building,road,none,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
734.0,1357.0,75.0,1e-05,1.0,1e-05,1e-05,1e-05,5.4524006843566895,1.120519995689392,1e-05,0.4377339780330658,1e-05,1.858237624168396,1e-05,1e-05,14.682027816772461,31.211477279663086,1e-05,1e-05,6.206879138946533,34.666900634765625
883.0,1625.0,75.0,1e-05,1.0,1e-05,1e-05,1e-05,5.379512786865234,1.1962436437606812,1e-05,0.4800804555416107,1e-05,1.6775707006454468,1e-05,1e-05,14.711222648620605,31.288843154907227,1e-05,1e-05,6.114091396331787,34.46697998046875
1367.0,930.0,75.0,1e-05,0.81,0.19,1e-05,1e-05,7.1409220695495605,1.774217963218689,1e-05,1e-05,1e-05,2.84008526802063,1e-05,1e-05,13.029419898986816,30.249286651611328,1e-05,1e-05,8.559410095214844,30.96656036376953
1403.0,329.0,75.0,1e-05,0.74,0.26,1e-05,1e-05,5.831791877746582,3.0691723823547363,1e-05,0.7275789380073547,1e-05,0.5623154044151306,1e-05,0.9496729969978333,23.74363136291504,37.061767578125,1e-05,1e-05,8.378143310546875,31.34004783630371
1832.0,1526.0,75.0,1e-05,0.51,0.49,1e-05,1e-05,5.818880081176758,5.168239116668701,1e-05,1.1888879537582397,1e-05,1e-05,1e-05,1.118261694908142,12.675267219543457,30.269084930419922,1e-05,1e-05,6.520712852478027,23.740081787109375
