x,y,r,building,road,none,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
518.0,56.0,20.0,1e-05,0.02,0.98,1e-05,1e-05,0.372743159532547,0.06507676839828491,1e-05,1e-05,1e-05,0.11233581602573395,1e-05,1e-05,0.1811618208885193,0.633578896522522,1e-05,0.03202683478593826,0.3168882131576538,0.744109034538269
394.0,195.0,20.0,1e-05,0.47,0.53,1e-05,1e-05,1.7991890907287598,1.2868798971176147,1e-05,0.7780840992927551,1e-05,1e-05,1e-05,1e-05,6.796438217163086,13.470440864562988,1e-05,1e-05,1.5093809366226196,14.671385765075684
405.0,463.0,20.0,1e-05,0.13,0.87,1e-05,1e-05,1.8198134899139404,1.350426197052002,1e-05,0.14913441240787506,1e-05,0.5293956398963928,1e-05,1e-05,0.9108232259750366,4.899728298187256,1e-05,1e-05,1.2055342197418213,5.288321018218994
290.0,43.0,20.0,0.3,0.14,0.56,1e-05,1e-05,15.714432716369629,4.532835483551025,1e-05,1e-05,1e-05,8.74156379699707,1e-05,1e-05,4.440972328186035,18.818937301635742,1e-05,1e-05,13.614078521728516,22.836713790893555
52.0,171.0,20.0,1e-05,0.16,0.84,4.988481521606445,9.740819931030273,1e-05,11.792145729064941,1e-05,6.558487415313721,1e-05,1.0254606008529663,1e-05,1e-05,17.603715896606445,2.1578681468963623,1e-05,1e-05,1.080110788345337,4.939399242401123
600.0,398.0,20.0,1.0,1e-05,1e-05,4.917473793029785,47.187225341796875,46.06405258178711,1e-05,1e-05,1e-05,1e-05,41.99689865112305,1e-05,1.4110225439071655,36.69237518310547,10.689297676086426,1e-05,1e-05,44.296546936035156,61.54902648925781
211.0,478.0,20.0,1e-05,0.08,0.92,1e-05,1e-05,1e-05,1.3750141859054565,1e-05,0.9177254438400269,1e-05,1e-05,1e-05,1e-05,1.4311420917510986,2.0965261459350586,1e-05,1e-05,1e-05,2.276643991470337
119.0,410.0,20.0,1.0,1e-05,1e-05,4.917473793029785,47.187225341796875,46.06405258178711,1e-05,1e-05,1e-05,1e-05,41.99689865112305,1e-05,1.4110225439071655,36.69237518310547,10.689297676086426,1e-05,1e-05,44.296546936035156,61.54902648925781
620.0,372.0,20.0,1.0,1e-05,1e-05,0.530123233795166,35.34453201293945,46.47805404663086,1e-05,1e-05,1e-05,1e-05,37.05786895751953,1e-05,1e-05,28.6336612701416,16.800701141357422,1e-05,1e-05,43.201438903808594,58.537540435791016
543.0,77.0,20.0,0.08,0.05,0.87,1e-05,6.662289142608643,1.9822360277175903,0.004738956689834595,1e-05,1e-05,1e-05,6.128455638885498,1e-05,0.043267086148262024,11.565911293029785,1e-05,1e-05,1e-05,0.9053000807762146,5.69225549697876
633.0,380.0,20.0,1.0,1e-05,1e-05,4.917473793029785,47.187225341796875,46.06405258178711,1e-05,1e-05,1e-05,1e-05,41.99689865112305,1e-05,1.4110225439071655,36.69237518310547,10.689297676086426,1e-05,1e-05,44.296546936035156,61.54902648925781
562.0,152.0,20.0,1e-05,0.04,0.96,1e-05,1e-05,0.5141382813453674,1e-05,1e-05,1e-05,1e-05,0.5443555116653442,1e-05,1e-05,2.124446392059326,1.7870562076568604,1e-05,1e-05,0.7340714335441589,1.7446221113204956
565.0,124.0,20.0,0.38,0.06,0.55,16.890640258789062,48.659820556640625,17.75704574584961,1e-05,1e-05,1e-05,1e-05,20.421405792236328,1e-05,1.016812801361084,27.848430633544922,1e-05,1e-05,1e-05,31.339895248413086,26.76117706298828
408.0,71.0,20.0,1.0,1e-05,1e-05,4.917473793029785,47.187225341796875,46.06405258178711,1e-05,1e-05,1e-05,1e-05,41.99689865112305,1e-05,1.4110225439071655,36.69237518310547,10.689297676086426,1e-05,1e-05,44.296546936035156,61.54902648925781
648.0,173.0,20.0,1e-05,1.0,1e-05,1e-05,1e-05,5.4524006843566895,1.120519995689392,1e-05,0.4377339780330658,1e-05,1.858237624168396,1e-05,1e-05,14.682027816772461,31.211477279663086,1e-05,1e-05,6.206879138946533,34.666900634765625
579.0,77.0,20.0,1.0,1e-05,1e-05,5.830198287963867,49.02186965942383,44.70619583129883,1e-05,1e-05,1e-05,1e-05,41.986698150634766,1e-05,1.9096835851669312,37.69683837890625,9.148234367370605,1e-05,1e-05,43.705833435058594,60.584571838378906
652.0,95.0,20.0,1.0,1e-05,1e-05,4.917473793029785,47.187225341796875,46.06405258178711,1e-05,1e-05,1e-05,1e-05,41.99689865112305,1e-05,1.4110225439071655,36.69237518310547,10.689297676086426,1e-05,1e-05,44.296546936035156,61.54902648925781
45.0,33.0,20.0,1e-05,0.01,0.99,1.0769875049591064,3.461019277572632,0.19037243723869324,0.8899465799331665,1e-05,0.40627148747444153,1e-05,1.120639681816101,1e-05,1e-05,3.4833106994628906,1e-05,1e-05,1e-05,1.1584713459014893,1.2004735469818115
281.0,131.0,20.0,0.59,0.19,0.23,49.580814361572266,101.31744384765625,22.69995880126953,3.596461772918701,1e-05,1e-05,1e-05,26.082714080810547,1e-05,1e-05,43.76768493652344,1e-05,1e-05,1e-05,65.4229736328125,36.157527923583984
74.0,360.0,20.0,0.65,0.03,0.32,1e-05,38.146644592285156,14.862995147705078,1e-05,1e-05,1e-05,1e-05,35.45871353149414,1e-05,2.116832971572876,56.478206634521484,1e-05,1e-05,1e-05,10.430170059204102,34.24184799194336
539.0,104.0,20.0,1e-05,0.06,0.94,1e-05,0.02656843513250351,0.8994548916816711,1e-05,1e-05,1e-05,1e-05,2.475412607192993,1e-05,1e-05,5.658977508544922,2.451353073120117,1e-05,1e-05,1.0810792446136475,4.019697666168213
338.0,370.0,20.0,0.26,1e-05,0.74,1e-05,21.28767204284668,29.98211669921875,6.453596591949463,1e-05,1e-05,1e-05,4.914619445800781,1e-05,1e-05,1e-05,22.1600284576416,1e-05,1e-05,29.44185447692871,24.428218841552734
159.0,187.0,20.0,1e-05,0.98,0.02,1e-05,1e-05,5.723818778991699,2.308384418487549,1e-05,0.9080799221992493,1e-05,1.323595404624939,1e-05,1e-05,12.47451114654541,30.570837020874023,1e-05,1e-05,5.694333553314209,33.354923248291016
