x,y,r,building,road,none,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
454.0,1314.0,75.0,0.47,0.45,0.08,1e-05,1e-05,19.565162658691406,1e-05,1e-05,1e-05,1e-05,21.050662994384766,1e-05,1e-05,25.590116500854492,32.66194534301758,1e-05,1e-05,23.62784767150879,40.84587478637695
578.0,1533.0,75.0,0.99,1e-05,0.01,6.808622360229492,51.60078811645508,44.09720993041992,1e-05,1e-05,1e-05,1e-05,41.88324737548828,1e-05,2.5722386837005615,38.50305938720703,7.745715618133545,1e-05,1e-05,44.107269287109375,60.14126205444336
1321.0,1610.0,75.0,1.0,1e-05,1e-05,4.917473793029785,47.187225341796875,46.06405258178711,1e-05,1e-05,1e-05,1e-05,41.99689865112305,1e-05,1.4110225439071655,36.69237518310547,10.689297676086426,1e-05,1e-05,44.296546936035156,61.54902648925781
1414.0,1786.0,75.0,1.0,1e-05,1e-05,4.917473793029785,47.187225341796875,46.06405258178711,1e-05,1e-05,1e-05,1e-05,41.99689865112305,1e-05,1.4110225439071655,36.69237518310547,10.689297676086426,1e-05,1e-05,44.296546936035156,61.54902648925781
1306.0,1725.0,75.0,0.92,0.06,0.02,11.412162780761719,57.797325134277344,35.454166412353516,1e-05,1e-05,1e-05,1e-05,38.810935974121094,1e-05,3.3288533687591553,40.734039306640625,1.9125773906707764,1e-05,1e-05,39.75550079345703,52.52642059326172
