x,y,r,building,road,none,f1,f2,f3
544.0,1316.0,75.0,0.45,0.55,0.0,0.0,108.4761734008789,6.169473171234131
619.0,1447.0,75.0,0.57,0.43,0.0,0.0,38.058570861816406,0.0
827.0,1668.0,75.0,0.03,0.97,0.0,0.0,173.41036987304688,118.84200286865234
1193.0,1793.0,75.0,0.0,0.56,0.44,0.0,63.706024169921875,44.96435546875
1482.0,1926.0,75.0,0.42,0.15,0.43,0.0,57.81817626953125,81.56403350830078
