x,y,r,building,road,none,f1,f2,f3
734.0,1357.0,75.0,0.0,1.0,0.0,0.0,157.3682861328125,104.41924285888672
883.0,1625.0,75.0,0.0,1.0,0.0,0.0,157.03048706054688,104.02857208251953
1367.0,930.0,75.0,0.0,0.81,0.19,0.0,123.51923370361328,81.07669067382812
1403.0,329.0,75.0,0.0,0.74,0.26,0.0,176.31077575683594,127.83572387695312
1832.0,1526.0,75.0,0.0,0.51,0.49,0.0,105.30481719970703,65.209716796875
