x,y,r,building,road,none,f1,f2,f3
454.0,1314.0,75.0,0.47,0.45,0.08,0.0,30.25235939025879,7.20834493637085
578.0,1533.0,75.0,0.99,0.0,0.01,0.0,26.60746955871582,67.2022705078125
1321.0,1610.0,75.0,1.0,0.0,0.0,0.0,25.65129280090332,69.65526580810547
1414.0,1786.0,75.0,1.0,0.0,0.0,0.0,25.65129280090332,69.65526580810547
1306.0,1725.0,75.0,0.92,0.06,0.02,0.0,21.591400146484375,47.49976348876953
