x,y,r,building,road,none
934,1733,30,0.0,0.46,0.54
1843,1251,30,0.0,0.27,0.73
1138,1784,30,0.0,0.0,1.0
1324,2025,30,0.0,0.0,1.0
1554,878,30,0.0,0.95,0.05
