x,y,r,building,road,none
1864,1775,30,0.0,0.0,1.0
779,1120,30,0.0,0.0,1.0
1075,1660,30,0.0,0.0,1.0
570,1135,30,0.0,0.0,1.0
1032,1165,30,0.0,0.03,0.97
