x,y,r,building,road,none
220,407,30,0.0,0.48,0.52
264,487,30,0.0,0.87,0.13
410,279,30,0.0,0.68,0.32
420,98,30,0.0,0.43,0.57
549,457,30,0.0,0.04,0.96
