x,y,r,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
454,1314,50,0.0,0.0,0.12871002,0.01183062,0.0,0.0,0.0,0.11599038,0.0,0.0,0.13004372,0.21511725,0.0,0.0,0.14866318,0.2496448
578,1533,50,0.016680492,0.1600631,0.1562532,0.0,0.0,0.0,0.0,0.14245707,0.0,0.004786309,0.12446367,0.03625901,0.0,0.0,0.15025768,0.20877956
1321,1610,50,0.016680492,0.1600631,0.1562532,0.0,0.0,0.0,0.0,0.14245707,0.0,0.004786309,0.12446367,0.03625901,0.0,0.0,0.15025768,0.20877956
1414,1786,50,0.016680492,0.1600631,0.1562532,0.0,0.0,0.0,0.0,0.14245707,0.0,0.004786309,0.12446367,0.03625901,0.0,0.0,0.15025768,0.20877956
1306,1725,50,0.025654444,0.17909332,0.14476655,0.0,0.0,0.0,0.0,0.14046755,0.0,0.009139573,0.13155083,0.021691687,0.0,0.0,0.1473584,0.20027764
