x,y,r,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
734,1357,50,0.0,0.0,0.05701191,0.011716488,0.0,0.0045770756,0.0,0.019430282,0.0,0.0,0.15351962,0.3263564,0.0,0.0,0.06490096,0.36248735
883,1625,50,0.0,0.0,0.05701191,0.011716488,0.0,0.0045770756,0.0,0.019430282,0.0,0.0,0.15351962,0.3263564,0.0,0.0,0.06490096,0.36248735
1367,930,50,0.0,0.0,0.08372519,0.03263415,0.0,0.0,0.0,0.022776414,0.0,0.0,0.12203012,0.33071366,0.0,0.0,0.0936809,0.31443956
1403,329,50,0.0,0.0,0.05814138,0.02034313,0.0,0.0037425293,0.0,0.010726017,0.0,0.0,0.16855332,0.33736423,0.0,0.0,0.07464017,0.32648918
1832,1526,50,0.0,0.0,0.07325933,0.035544444,0.0,0.0013305438,0.0,0.007855444,0.0,0.011885417,0.15951094,0.3385321,0.0,0.0,0.09473389,0.2773479
