x,y,r,building,road,none
454,1314,30,0.51,0.0,0.49
578,1533,30,1.0,0.0,0.0
1321,1610,30,1.0,0.0,0.0
1414,1786,30,1.0,0.0,0.0
1306,1725,30,1.0,0.0,0.0
