x,y,r,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
934,1733,50,0.0,0.0,0.08878105,0.033678733,0.0,0.001557967,0.0,0.04459143,0.0,0.0,0.095556594,0.30455178,0.0,0.0,0.086166784,0.34511557
1843,1251,50,0.0,0.0,0.09529614,0.1541566,0.0,0.044033557,0.0,0.0,0.0,0.012725749,0.042575,0.32528633,0.0,0.0,0.03139587,0.29453072
1138,1784,50,0.0,0.0,0.0077421283,0.040813167,0.0,0.043339778,0.0,0.0,0.0,0.0,0.22144136,0.30279106,0.0,0.0,0.0,0.38387248
1324,2025,50,0.0,0.0,0.0,0.15017478,0.0,0.09580755,0.0,0.0,0.0,0.0,0.32349324,0.20484725,0.0,0.0,0.0,0.22567716
1554,878,50,0.0,0.0,0.06862183,0.013161422,0.0,0.0007601135,0.0,0.031486876,0.0,0.0,0.14014988,0.31544924,0.0,0.0,0.08002184,0.3503488
