x,y,r,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
544,1316,50,0.0,0.0006282936,0.11052556,0.0,0.0,0.0,0.0,0.14262307,0.0,0.0,0.20010266,0.17779869,0.0,0.0,0.13226902,0.23605278
619,1447,50,0.0,0.014827429,0.10940478,0.0,0.0,0.0,0.0,0.16014938,0.0,0.0,0.2179003,0.14062357,0.0,0.0,0.118829265,0.23826528
827,1668,50,0.0,0.0,0.058219094,0.012588618,0.0,0.0041244403,0.0,0.019981267,0.0,0.0,0.15306352,0.3262991,0.0,0.0,0.067295074,0.35842878
1193,1793,50,0.0,0.0,0.050613064,0.017229965,0.0,0.013717947,0.0,0.019960385,0.0,0.0,0.14551081,0.3114839,0.0,0.0,0.04220618,0.39927778
1482,1926,50,0.08894887,0.30642113,0.15459946,0.0039203875,0.0,0.0,0.0,0.018256405,0.0,0.0,0.03218824,0.025018657,0.0,0.0,0.25265694,0.1179899
