x,y,r,building,road,none
544,1316,30,0.6,0.31,0.09
619,1447,30,0.73,0.0,0.27
827,1668,30,0.0,0.38,0.62
1193,1793,30,0.0,0.0,1.0
1482,1926,30,0.28,0.0,0.72
