x,y,r,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
494,1244,50,0.0,0.0,0.043578796,0.0,0.0,0.0,0.0,0.039081283,0.0,0.0,0.19165035,0.292814,0.0,0.0,0.06148413,0.37139148
375,1314,50,0.0,0.0,0.05994385,0.0,0.0,0.0,0.0,0.14748637,0.0,0.0,0.3025556,0.1602382,0.0,0.0,0.08236712,0.2474089
673,1829,50,0.064290725,0.2322352,0.09003646,0.0,0.0,0.0,0.0,0.13356437,0.0,0.010270279,0.18302137,0.0,0.0,0.0,0.1309343,0.1556473
1152,1573,50,0.0,0.21252216,0.081416376,0.0,0.0,0.0,0.0,0.17128326,0.0,0.016389946,0.28283542,0.0,0.0,0.0,0.067841694,0.16771111
1565,1824,50,0.0,0.113361344,0.21629046,0.011862543,0.0,0.0,0.0,0.09832058,0.0,0.0,0.020611858,0.11560529,0.0,0.0,0.1942404,0.22970751
