x,y,r,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
1864,1775,50,0.0,0.0,0.14013055,0.23187897,0.0,0.057415545,0.0,0.0,0.0,0.06660266,0.0033562724,0.24161437,0.0,0.01271223,0.058799814,0.18748964
779,1120,50,0.0,0.0,0.0,0.07961715,0.0,0.073515005,0.0,0.0,0.0,0.0,0.29383895,0.2590528,0.0,0.0,0.0,0.29397616
1075,1660,50,0.0053730304,0.0,0.004752186,0.261916,0.0,0.14707634,0.0,0.0,0.0,0.052540213,0.1599915,0.16713244,0.0,0.0,0.0,0.20121828
570,1135,50,0.05478157,0.23772538,0.0,0.09584798,0.0,0.04385797,0.0,0.09603306,0.0,0.0,0.32142773,0.0,0.0,0.0,0.04734001,0.10298629
1032,1165,50,0.0,0.0,0.025747005,0.083724685,0.0,0.053181518,0.0,0.0,0.0,0.0,0.16929847,0.32686573,0.0,0.0,0.00015896939,0.34102362
