x,y,r,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
1430,1510,50,0.0,0.075168446,0.21778293,0.045206215,0.0,0.0,0.0,0.06956034,0.0,0.0,0.00044138212,0.17307852,0.0,0.0,0.19657753,0.22218463
1502,1693,50,0.0,0.10381777,0.21607219,0.011984838,0.0,0.0,0.0,0.10308113,0.0,0.0,0.02130773,0.11766913,0.0,0.0,0.19184132,0.23422588
750,1836,50,0.014521161,0.19651882,0.19093408,0.0,0.0,0.0,0.0,0.08762037,0.0,0.0,0.05404397,0.05937586,0.0,0.0,0.19791274,0.19907305
420,1490,50,0.14471374,0.2912647,0.04839039,0.0067363516,0.0,0.0,0.0,0.086578764,0.0,0.0,0.14503196,0.0,0.0,0.0,0.1688035,0.10848059
583,1811,50,0.014214689,0.23641227,0.10641547,0.0,0.0,0.0,0.0,0.13438979,0.0,0.0,0.22299969,0.0,0.0,0.0,0.11682229,0.16874577
