x,y,r,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
524,756,50,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1100,733,50,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1778,435,50,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1466,1257,50,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
598,2003,50,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
